,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
0,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,新築マンション,神奈川県横浜市神奈川区鶴屋町１,東急東横線,横浜,－徒歩3分,1億7880万円,58.13m2（17.58坪）（壁芯）,2LDK,-
1,エステムプラザ湘南藤沢,新築マンション,神奈川県藤沢市鵠沼橘１-16-2,ＪＲ東海道本線,藤沢,－徒歩4分,3480万円,30.18m2（9.12坪）（壁芯）,1LDK,-
2,ガーラレジデンス綱島リバープレイス,中古マンション,神奈川県横浜市鶴見区駒岡５,東急東横線,綱島,－徒歩19分,3980万円,66.38m2,3LDK,2016年3月
3,シエリア横浜鶴見,中古マンション,神奈川県横浜市鶴見区鶴見中央２,ＪＲ京浜東北線,鶴見,－徒歩5分,5180万円,53.92m2（16.31坪）（壁芯）,2LDK,2017年7月
4,ロイヤルタワー横濱鶴見,中古マンション,神奈川県横浜市鶴見区鶴見中央１,ＪＲ京浜東北線,鶴見,－徒歩1分,7180万円,59.4m2（壁芯）,2LDK,2010年9月
5,イニシア菊名桜山公園,中古マンション,神奈川県横浜市神奈川区松見町４,東急東横線,菊名,－徒歩11分,4980万円,77.51m2（23.44坪）（壁芯）,3LDK,2010年8月
6,ザ・パークハウス横浜新子安テラス,中古マンション,神奈川県横浜市神奈川区新子安１,ＪＲ京浜東北線,新子安,－徒歩6分,5690万円,63.29m2（19.14坪）（壁芯）,2LDK,2015年2月
7,THE YOKOHAMA FRONT TOWER,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ京浜東北線,横浜,－徒歩3分,1億5000万円,55.48m2（16.78坪）（壁芯）,2LDK,2023年12月
8,THE YOKOHAMA FRONT TOWER,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ京浜東北線,横浜,－徒歩3分,1億5980万円,55.48m2（壁芯）,2LDK,2023年12月
9,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ東海道本線,横浜,－徒歩4分,1億7880万円,58.13m2（17.58坪）（壁芯）,2LDK,2023年12月
10,ＴＨＥ　ＹＯＫＯＨＡＭＡ　ＦＲＯＮＴ　ＴＯＷＥＲ,中古マンション,神奈川県横浜市神奈川区鶴屋町１,ＪＲ東海道本線,横浜,－徒歩3分,2億4200万円,71.44m2（21.61坪）（壁芯）,2LDK,2023年12月
11,クリオ西横浜ブライトマークス,中古マンション,神奈川県横浜市西区久保町,相鉄本線,西横浜,－徒歩5分,5280万円,58.5m2（17.69坪）（壁芯）,3LDK,2022年1月
12,クリオ横濱浅間町,中古マンション,神奈川県横浜市西区浅間町４,相鉄本線,平沼橋,－徒歩10分,5780万円,62.39m2（18.87坪）（壁芯）,3LDK,2018年3月
13,オープンレジデンシア横浜,中古マンション,神奈川県横浜市西区西平沼町,相鉄本線,平沼橋,－徒歩1分,6690万円,64.6m2,3LDK,2022年5月
14,クリオレジダンス横濱ザ・マークス,中古マンション,神奈川県横浜市西区花咲町６,ブルーライン,高島町,－徒歩4分,6790万円,55.94m2（壁芯）,2LDK,2018年7月
15,メルディア横濱桜木町,中古マンション,神奈川県横浜市西区戸部町２,ＪＲ京浜東北線,桜木町,－徒歩10分,8480万円,76.31m2（壁芯）,2LDK,2013年2月
16,シティテラス横濱サウス,中古マンション,神奈川県横浜市西区伊勢町３,京急本線,戸部,－徒歩6分,8980万円,70.2m2（壁芯）,3LDK,2019年1月
17,ブランズタワーみなとみらい,中古マンション,神奈川県横浜市西区みなとみらい３,みなとみらい線,みなとみらい,－徒歩2分,1億4580万円,61.28m2（壁芯）,2LDK,2017年1月
18,ブランズタワーみなとみらい,中古マンション,神奈川県横浜市西区みなとみらい３-7-2,みなとみらい線,みなとみらい,－徒歩2分,1億7800万円,75.59m2（壁芯）,3LDK,2017年1月
19,グランドメゾン伊勢山　E棟,中古マンション,神奈川県横浜市西区宮崎町,ＪＲ根岸線,桜木町,－徒歩5分,3億1800万円,161.05m2（壁芯）,3LDK,2011年8月
20,イニシア横浜桜木町,中古マンション,神奈川県横浜市中区野毛町２,ＪＲ京浜東北線,桜木町,－徒歩4分,4580万円,39.85m2（壁芯）,1LDK,2020年2月
21,ブリリア横濱山手,中古マンション,神奈川県横浜市中区竹之丸,ＪＲ京浜東北線,山手,－徒歩5分,7480万円,70.5m2（壁芯）,3LDK,2020年3月
22,プレシス横濱山手パークフロント,中古マンション,神奈川県横浜市中区山元町５,ＪＲ京浜東北線,山手,－徒歩10分,1億1480万円,100m2（30.24坪）（壁芯）,3LDK,2017年10月
23,ザ・タワー横浜北仲,中古マンション,神奈川県横浜市中区北仲通５,みなとみらい線,馬車道,－徒歩1分,1億7500万円,80.82m2（24.44坪）（壁芯）,3LDK,2019年10月
