,都道府県,主要都市,位置コード
0,東京都,全域,ta=13
1,東京都,渋谷区,ta=13&sc=13113
2,東京都,新宿区,ta=13&sc=13104
3,東京都,品川区,ta=13&sc=13109
4,千葉県,全域,ta=12
5,千葉県,千葉市,ta=12&sc=12101&sc=12102&sc=12103&sc=12104&sc=12105&sc=12106
6,千葉県,船橋市,ta=12&sc=12204
7,千葉県,柏市,ta=12&sc=12217
8,千葉県,成田市,ta=12&sc=12211
9,神奈川県,全域,ta=14
10,神奈川県,横浜市,ta=14&sc=14101&sc=14102&sc=14103&sc=14104&sc=14105&sc=14106&sc=14107&sc=14108&sc=14109&sc=14110&sc=14111&sc=14112&sc=14113&sc=14114&sc=14115&sc=14116&sc=14117&sc=14118
11,神奈川県,川崎市,ta=14&sc=14131&sc=14132&sc=14133&sc=14134&sc=14135&sc=14136
12,神奈川県,相模原市,ta=14&sc=14151&sc=14152&sc=14153
13,神奈川県,横須賀市,ta=14&sc=14201
14,埼玉県,全域,ta=11
15,埼玉県,さいたま市,ta=11&sc=11101&sc=11102&sc=11103&sc=11104&sc=11105&sc=11106&sc=11107&sc=11108&sc=11109&sc=11110
16,埼玉県,川口市,ta=11&sc=11203
17,埼玉県,川越市,ta=11&sc=11201
